Cliente;Coordenada X del mapa;Coordenada Y del mapa;Zona de ventas;Poblacion;Fecha de creacion;Tipo de atencion;Condiciones de pag;Credito;Unidad Geografica;Tipo de cliente;Venta Julio;Venta Agosto;Venta Septiembre
3020169;-8.170.759;1.254.499;N301;;8/12/2003;PRESENCIAL;CO18;173.000.000;NORTE - APCOL;T03;101833371.5;101075075.9;134386212.2
3033833;-7.878.201;180.007;Q212;;25/07/2020;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T06;5944419.17;10245984.08;9542461.3
3031617;-787.815;1.804.458;Q212;;3/03/2018;PRESENCIAL;CO41;0;OCCIDENTE - APCOL;T16;4868795.68;6339273.01;12966624.36
3031182;-7.877.363;1.807.826;Q212;;27/02/2017;PRESENCIAL;CO41;2.500.000;OCCIDENTE - APCOL;T10;0;0;1721218.8
3031618;-7.877.315;1.808.191;Q212;;3/03/2018;PRESENCIAL;CO41;12.000.000;OCCIDENTE - APCOL;T16;5425804.16;5125498.55;9404946.97
3030409;-7.877.183;1.808.985;Q212;;13/11/2014;PRESENCIAL;CO41;4.700.000;OCCIDENTE - APCOL;T16;0;1118806.06;2114115.94
3030410;-7.877.134;1.809.371;Q212;;13/11/2014;PRESENCIAL;CO41;12.400.000;OCCIDENTE - APCOL;T16;0;2011647.13;4903278.02
3030391;-7.876.974;1.810.314;Q212;;10/11/2014;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T01;8137260.18;6171133.9;2280178.24
3030424;-787.693;1.810.797;Q212;;19/11/2014;PRESENCIAL;CO41;1.170.000;OCCIDENTE - APCOL;T01;5257.56;415509.37;299376.15
3006305;-7.876.905;1.810.926;Q212;;5/03/2008;PRESENCIAL;CO41;4.590.000;OCCIDENTE - APCOL;T01;3073687.21;2065374.54;1755632.92
3030422;-7.876.882;181.113;Q212;;19/11/2014;PRESENCIAL;CO41;2.929.000;OCCIDENTE - APCOL;T16;484750.45;2267574.33;1441239.87
3031318;-7.876.882;181.113;Q212;;29/03/2017;PRESENCIAL;CO41;13.200.000;OCCIDENTE - APCOL;T16;1149944.7;7196603.78;5553469.85
3030402;-7.876.857;1.811.291;Q212;;13/11/2014;PRESENCIAL;CO41;1.270.000;OCCIDENTE - APCOL;T01;641137.88;1223843.81;1478231.86
3030423;-7.876.857;1.811.291;Q212;;19/11/2014;PRESENCIAL;CO41;8.000.000;OCCIDENTE - APCOL;T01;5891242.13;611035.84;5177214.18
3034183;-78.767.981;1.804.221;Q212;;28/03/2021;PRESENCIAL;CO41;2.010.000;OCCIDENTE - APCOL;T01;595248.36;495591.65;1725168.09
3030408;-7.876.783;1.804.581;Q212;;13/11/2014;PRESENCIAL;CO41;9.130.000;OCCIDENTE - APCOL;T16;6278885.95;6003348.69;7048694.52
3033805;-787.662;1.804.392;Q212;;10/07/2020;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T06;4868616.09;6402641.99;7454855.25
3030388;-7.876.615;1.804.573;Q212;;10/11/2014;PRESENCIAL;CO12;135.000.000;OCCIDENTE - APCOL;T06;25315252.9;34938365.62;32826526.93
3030389;-7.876.607;1.804.471;Q212;;10/11/2014;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T06;2711225.6;3622943.38;3159836.39
3030415;-7.876.602;1.813.198;Q212;;14/11/2014;PRESENCIAL;CO41;11.000.000;OCCIDENTE - APCOL;T16;0;0;0
3030500;-7.876.592;1.809.661;Q212;;23/12/2014;PRESENCIAL;CO41;3.161.000;OCCIDENTE - APCOL;T16;1914072.95;672580.38;1468157.65
3033986;-7.876.575;1.804.823;Q212;;23/10/2020;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T06;3965733.99;5890252.62;5605924.54
3030390;-7.876.429;1.812.853;Q212;;10/11/2014;PRESENCIAL;CO12;0;OCCIDENTE - APCOL;T06;6462103.1;6162904.04;6660625.22
3030421;-7.853.148;1.390.246;Q212;;19/11/2014;PRESENCIAL;CO41;10.150.000;OCCIDENTE - APCOL;T16;2320810.73;3154102.98;8915177.61
3030571;-7.851.976;139.084;Q212;;11/05/2015;PRESENCIAL;CO41;1.120.000;OCCIDENTE - APCOL;T10;0;821327.79;266070.29
3034495;-7.851.877;1.391.031;Q212;;9/11/2021;PRESENCIAL;CO41;6.450.000;OCCIDENTE - APCOL;T16;5178864.35;2186849.67;4347154.86
3034075;-7.851.737;1.391.468;Q212;;14/01/2021;PRESENCIAL;CO41;0;OCCIDENTE - APCOL;T10;404142.86;525104.29;0
3007402;-7.832.816;2.347.878;Q203;;20/09/2012;PRESENCIAL;CO10;0;OCCIDENTE - APCOL;T01;0;13178035.11;0
3030043;-7.832.816;2.347.878;Q203;;19/11/2013;PRESENCIAL;CO10;0;OCCIDENTE - APCOL;T01;0;4394157.33;0
3034356;-77.808.786;0.87644;Q222;;18/08/2021;PRESENCIAL;CO41;1.680.000;OCCIDENTE - APCOL;T14;237574.49;1098934.6;712346.27
3031293;-7.766.069;0.82676;Q207;;23/03/2017;PRESENCIAL;CO40;1.780.000;OCCIDENTE - APCOL;T16;1849500.58;1719203.24;1217035.54
3031296;-7.765.577;0.827573;Q207;;23/03/2017;PRESENCIAL;CO41;2.530.000;OCCIDENTE - APCOL;T01;1869464.64;1229974.07;116336.84
3006845;-77.655;0.828303;Q207;;14/03/2011;PRESENCIAL;CO41;2.050.000;OCCIDENTE - APCOL;T12;806095.2;984515.51;1302988.08
3030860;-7.765.278;0.828528;Q207;;8/04/2016;PRESENCIAL;CO41;0;OCCIDENTE - APCOL;T16;6668114.82;6882956.57;4568188.46
3031038;-7.764.793;0.831296;Q207;;28/11/2016;PRESENCIAL;CO41;4.620.000;OCCIDENTE - APCOL;T10;2858660.59;209451.42;1432256.1
3031427;-7.764.467;0.83313;Q207;;17/04/2017;PRESENCIAL;CO41;2.130.000;OCCIDENTE - APCOL;T16;1447861.03;1232003.43;649367.65
3033624;-7.764.329;0.824791;Q207;;12/03/2020;PRESENCIAL;CO41;4.070.000;OCCIDENTE - APCOL;T01;2681023.41;650851.77;1677747.61
3031613;-7.764.299;0.824673;Q207;;10/02/2018;PRESENCIAL;CO41;55.000.000;OCCIDENTE - APCOL;T01;57974881.75;33535738.91;0
3030861;-7.764.165;0.824472;Q207;;8/04/2016;PRESENCIAL;CO41;12.310.000;OCCIDENTE - APCOL;T01;0;0;0
3033583;-7.764.159;0.824553;Q207;;5/03/2020;PRESENCIAL;CO40;1.650.000;OCCIDENTE - APCOL;T01;0;0;0
3031796;-7.764.158;0.824328;Q207;;23/07/2019;PRESENCIAL;CO41;4.240.000;OCCIDENTE - APCOL;T01;2519352.15;0;2513473.86
3033832;-7.764.158;0.823837;Q207;;24/07/2020;PRESENCIAL;CO41;14.160.000;OCCIDENTE - APCOL;T01;470692.25;8803979.5;1002935.11
3030054;-7.764.151;0.824416;Q207;;29/11/2013;PRESENCIAL;CO41;14.310.000;OCCIDENTE - APCOL;T01;917857.28;933785.73;1703405.27
3007258;-7.764.138;0.828152;Q207;;28/11/2011;PRESENCIAL;CO43;4.220.000;OCCIDENTE - APCOL;T01;293695.65;880748.21;3655836.18
3005706;-7.764.132;0.824066;Q207;;28/07/2006;PRESENCIAL;CO41;4.730.000;OCCIDENTE - APCOL;T01;0;1244864.71;525370.84
3031238;-7.764.125;0.824552;Q207;;14/03/2017;PRESENCIAL;CO41;20.000.000;OCCIDENTE - APCOL;T01;31119066.77;41451441.3;12514810.32
3005635;-7.764.125;0.824129;Q207;;19/07/2006;PRESENCIAL;CO43;58.770.000;OCCIDENTE - APCOL;T01;131160433.6;142244934.2;140033830.3
3005770;-776.412;0.824171;Q207;;16/08/2006;PRESENCIAL;CO43;5.940.000;OCCIDENTE - APCOL;T01;2435324.4;480230.4;851808.68
3031014;-7.764.116;0.824206;Q207;;7/10/2016;PRESENCIAL;CO41;76.710.000;OCCIDENTE - APCOL;T01;358618612.7;363642249.8;382298634.9
3034546;-77.641.020;0.825206;Q207;;23/12/2021;PRESENCIAL;CO41;20.000.000;OCCIDENTE - APCOL;T01;64801795.65;71896313.63;66508141.72
3006836;-7.764.071;0.823282;Q207;;14/03/2011;PRESENCIAL;CO43;10.750.000;OCCIDENTE - APCOL;T10;4320130.79;8021606.38;4358463.73
3033831;-7.764.069;0.823918;Q207;;24/07/2020;PRESENCIAL;CO41;20.000.000;OCCIDENTE - APCOL;T01;2435200.26;0;2668978.53
3031390;-7.764.065;0.823396;Q207;;10/04/2017;PRESENCIAL;CO40;90.000.000;OCCIDENTE - APCOL;T01;40253260.32;135646012.4;54707519.82
3030397;-776.406;0.82721;Q207;;11/11/2014;PRESENCIAL;CO41;15.030.000;OCCIDENTE - APCOL;T01;10243878.69;6046787.59;10071836.65
3031294;-7.764.055;0.823997;Q207;;23/03/2017;PRESENCIAL;CO41;10.000.000;OCCIDENTE - APCOL;T01;430935.01;3983515.67;478012.32
3031502;-7.763.998;0.824476;Q207;;3/05/2017;PRESENCIAL;CO61;53.820.000;OCCIDENTE - APCOL;T03;159681515.2;109318641.8;181817562.4
3033849;-7.763.988;0.826698;Q207;;16/08/2020;PRESENCIAL;CO41;14.070.000;OCCIDENTE - APCOL;T01;0;3130585.15;948751.52
3034547;-77.639.700;0.82328;Q207;;23/12/2021;PRESENCIAL;CO41;10.000.000;OCCIDENTE - APCOL;T10;5725915.17;6762584.34;5768624.67
3006267;-7.763.962;0.826514;Q207;;14/02/2008;PRESENCIAL;CO41;9.180.000;OCCIDENTE - APCOL;T01;2884038.08;6767549.77;4999686.37
3005586;-7.763.948;0.825624;Q207;;12/07/2006;PRESENCIAL;CO27;11.320.000;OCCIDENTE - APCOL;T16;4142039.8;4863655.59;0
3006834;-7.763.936;0.823628;Q207;;14/03/2011;PRESENCIAL;CO41;11.920.000;OCCIDENTE - APCOL;T10;4180984.7;6658780.24;7709530.81
3031297;-7.763.924;0.826316;Q207;;23/03/2017;PRESENCIAL;CO40;6.000.000;OCCIDENTE - APCOL;T01;2831954.72;3936699.44;0
3007142;-7.763.907;0.830525;Q207;;8/07/2011;PRESENCIAL;CO41;1.704.000;OCCIDENTE - APCOL;T11;228663.03;0;0
3031228;-7.763.606;0.827158;Q207;;9/03/2017;PRESENCIAL;CO41;2.100.000;OCCIDENTE - APCOL;T16;201247.62;1039725.06;625415.52
3034177;-77.635.234;0.829129;Q207;;23/03/2021;PRESENCIAL;CO41;20.800.000;OCCIDENTE - APCOL;T01;17713962.07;4278689.93;3588336.58
3031045;-7.763.519;0.824173;Q207;;6/12/2016;PRESENCIAL;CO41;3.910.000;OCCIDENTE - APCOL;T16;227545.44;1780503.97;1517461.04
3034549;-77.634.548;0.824132;Q207;;24/12/2021;PRESENCIAL;CO10;0;OCCIDENTE - APCOL;T11;534405.71;670525.24;570876.31
3030358;-7.763.434;0.822596;Q207;;1/11/2014;PRESENCIAL;CO40;4.500.000;OCCIDENTE - APCOL;T01;0;0;0
3006835;-7.763.377;0.822403;Q207;;14/03/2011;PRESENCIAL;CO40;1.956.000;OCCIDENTE - APCOL;T10;1419837.71;699885.36;572281.88
3031426;-7.763.253;0.822415;Q207;;17/04/2017;PRESENCIAL;CO41;1.930.000;OCCIDENTE - APCOL;T01;1508098.2;403764;309946.25
3030356;-7.763.195;0.822204;Q207;;1/11/2014;PRESENCIAL;CO40;500.000;OCCIDENTE - APCOL;T01;0;8297.77;0
3006837;-7.763.193;0.822196;Q207;;14/03/2011;PRESENCIAL;CO41;1.510.000;OCCIDENTE - APCOL;T10;1436921.13;258651.4;1184231.99
3034548;-77.631.294;0.822193;Q207;;24/12/2021;PRESENCIAL;CO41;3.000.000;OCCIDENTE - APCOL;T10;722638.42;140180.87;0
3031243;-7.762.699;0.828311;Q207;;14/03/2017;PRESENCIAL;CO40;1.000.000;OCCIDENTE - APCOL;T01;780017.83;622363.54;451272.89
3030545;-7.762.392;0.829362;Q207;;19/02/2015;PRESENCIAL;CO41;9.126.000;OCCIDENTE - APCOL;T10;3363246.99;572976.16;2799864.57
3033882;-7.762.354;0.8298;Q207;;29/08/2020;PRESENCIAL;CO41;6.000.000;OCCIDENTE - APCOL;T01;3355791.96;731320.48;472591.2
3031447;-7.762.092;1.087.896;Q212;;18/04/2017;PRESENCIAL;CO41;4.230.000;OCCIDENTE - APCOL;T10;3437047.31;3616817.63;0
3031385;-7.761.922;1.087.232;Q212;;10/04/2017;PRESENCIAL;CO40;1.280.000;OCCIDENTE - APCOL;T01;1733956.85;802255.11;1038995.34
3031506;-774.722;1.285.055;Q212;;8/05/2017;PRESENCIAL;CO41;1.000.000;OCCIDENTE - APCOL;T16;0;0;162708.02
3031476;-7.747.093;128.563;Q212;;25/04/2017;PRESENCIAL;CO41;6.220.000;OCCIDENTE - APCOL;T16;4517689.17;5170915.81;2534034.37
3031331;-7.747.085;1.285.419;Q212;;3/04/2017;PRESENCIAL;CO41;5.800.000;OCCIDENTE - APCOL;T16;4799042.07;2370644.96;2902651.43
3034460;-77.470.732;1.283.927;Q212;;12/10/2021;PRESENCIAL;CO10;0;OCCIDENTE - APCOL;T14;1630223.42;946000.22;852659.24
3033977;-7.747.028;1.285.539;Q212;;10/10/2020;PRESENCIAL;CO41;2.210.000;OCCIDENTE - APCOL;T16;932515.39;929677.4;679081.51
3031141;-774.701;1.287.372;Q212;;25/02/2017;PRESENCIAL;CO41;2.280.000;OCCIDENTE - APCOL;T16;928819.83;1102424.88;0
