Zona;Costo
O351;4638377678.00
O216;2121492040.00
M352;1592950612.00
N352;1524555435.00
P500;1164414234.00
M351;529969244.00
Q207;534876710.00
N351;1148309741.00
M354;823106842.00
M503;964009371.00
M502;732213065.00
N350;543845304.00
M500;620914982.00
M309;300018455.00
N221;546794872.00
Q500;297150139.00
O301;478836181.00
M353;253097313.00
M355;419750154.00
N215;400294643.00
N301;405066278.00
N502;559948613.00
M228;374203821.00
M501;423231938.00
M350;476824115.00
M311;564988851.00
P501;473920921.00
M317;483260792.00
M310;425474245.00
M304;325093943.00
P205;488559518.00
M305;364811707.00
M303;370757991.00
P301;459823101.00
M324;398758171.00
Q351;336807868.00
P350;305048298.00
O202;391294729.00
M267;458247450.00
Q350;271132776.00
N500;351848533.00
Q310;469861797.00
M215;449382791.00
N222;337614967.00
O208;279586932.00
M247;216861925.00
P351;385715370.00
N303;131137408.00
O350;384239970.00
Q200;152392869.00
M357;376616964.00
O500;337090029.00
Q216;264655986.00
O204;315299109.00
O302;185432961.00
N501;199299962.00
Q202;327779422.00
Q305;149538188.00
Q203;157674044.00
M242;269698886.00
Q353;245942531.00
P202;208948733.00
M222;168057604.00
O218;268049754.00
Q211;111931143.00
Q205;272697278.00
Q224;139693228.00
O211;313326338.00
N305;232399714.00
Q221;287829111.00
N353;222346156.00
N214;228648422.00
N302;199620937.00
O203;158882951.00
O207;167188076.00
M307;235637762.00
Q206;182845101.00
M241;128933875.00
M239;246618182.00
P214;258582186.00
M212;214306378.00
Q209;147652059.00
Q222;96392089.00
M261;211793839.00
Q306;136097102.00
O213;162548541.00
M259;158215349.00
N306;152550030.00
Q215;156609788.00
O200;182582597.00
M325;135394004.00
M204;81462339.00
M255;152586910.00
M271;238069289.00
O201;128799764.00
M202;202486155.00
M246;199866307.00
M256;128670307.00
P201;211172435.00
M221;208211670.00
M257;161095355.00
N304;203599295.00
M203;183266078.00
O205;146832442.00
Q212;102886629.00
Q214;139121726.00
M219;144926319.00
M231;167809368.00
N211;126898610.00
M220;127873209.00
M206;70189007.00
M238;165055837.00
N207;111163219.00
M249;91010803.00
P203;162523950.00
M269;125903444.00
P206;173374830.00
M227;138029060.00
M258;106762243.00
Q223;157214449.00
M217;174565479.00
M262;157964506.00
M245;137781169.00
M248;101165562.00
Q352;145016567.00
M263;79666232.00
N209;100027829.00
M237;59632856.00
O210;137821106.00
M260;136032412.00
M254;60110070.00
M224;98652959.00
M268;132830261.00
M214;79093071.00
M207;116138508.00
N210;77095967.00
M208;53438596.00
M356;120260277.00
Q307;115971379.00
M251;70154842.00
Q210;129182585.00
M223;125604311.00
M210;86771953.00
N202;75462973.00
Q308;73668044.00
M321;118180590.00
P215;48825385.00
N213;91216918.00
N204;82481285.00
M225;37728048.00
M266;58734501.00
N224;89179333.00
N212;87438258.00
M216;80513308.00
N203;50868684.00
Q403;74841120.00
Q404;71583183.00
P207;65182934.00
Q309;40170646.00
Q400;23121613.00
Q402;54306047.00
Q401;38352011.00
Q505;31729129.00
Q354;28444592.00
P505;7905977.00
N505;20781377.00
O505;14811948.00
